callsign,frequency,band,names,location.city,location.country,location.full_state_name,location.state
K222AJ,92.3,FM,KSKE-FM,Vail,US,Colorado,CO
K297BU,107.3,FM,KYOS,Merced,US,California,CA
K259CA,99.7,FM,KEFX,Caliente,US,California,CA
K211FZ,90.1,FM,KAWZ,Austin,US,Texas,TX
K201FP,88.1,FM,KAWZ,Arapaho,US,Oklahoma,OK
K214DI,90.7,FM,KHRI,Casper,US,Wyoming,WY
W217BL,91.3,FM,KAWZ,Jacksonville,US,Florida,FL
K210CW,89.9,FM,KLOV,Newport,US,Oregon,OR
K262CK,100.3,FM,KXLG,Milbank,US,South Dakota,SD
K208EG,89.5,FM,KWFL,Alamosa,US,Colorado,CO
K208ED,89.5,FM,KWFL,Deming,US,New Mexico,NM
KUMT2,107.9,FM,KUMT,Ogden,US,Utah,UT
W254AX,98.7,FM,WATK,Antigo,US,Wisconsin,WI
W208BV,89.5,FM,WHJL,Mercer,US,Wisconsin,WI
KCCD,90.3,FM,KNOW-FM,Moorhead,US,Minnesota,MN
WGLB,1560,AM,WGLB,Elm Grove,US,Wisconsin,WI
WECC,89.3,FM,The Lighthouse WECC,Folkston,US,Georgia,GA
KSUN,1400,AM,La Mejor,Phoenix,US,Arizona,AZ
K237AY,95.3,FM,KSOS,Pioche,US,Nevada,NV
K233AF,94.5,FM,KUSU-FM,Teasdale,US,Utah,UT
K285CP,104.9,FM,KNPR,Mammoth Lakes,US,California,CA
WRVM,102.7,FM,WRVM Radio,Suring,US,Wisconsin,WI
WAWZ,99.1,FM,Star 99.1 / WAWZ,Zarephath,US,New Jersey,NJ
K231BR,94.1,FM,KRCC,Walsenburg,US,Colorado,CO
K219DP,91.7,FM,KENW-FM,Fort Sumner,US,New Mexico,NM
W215BG,90.9,FM,WOSR,Milford,US,Pennsylvania,PA
K206CI,89.1,FM,KEFX,Mooreland,US,Oklahoma,OK
