callsign,frequency,band,names,location.city,location.country,location.full_state_name,location.state
KFRS,89.9,FM,Family Radio Network,Soledad,US,California,CA
K217CS,91.3,FM,KTXP,Washburn,US,Texas,TX
W276BA,103.1,FM,WBFJ,Fancy Gap,US,Virginia,VA
W229AG,93.7,FM,WCNN,Atlanta,US,Georgia,GA
W217AW,91.3,FM,WSMC-FM,Dalton,US,Georgia,GA
K215DM,90.9,FM,KHRI,Hoyt,US,Kansas,KS
K273AJ,102.5,FM,KAWZ,Elwood,US,Oregon,OR
K209EV,89.7,FM,KEFX,Hadar,US,Nebraska,NE
K275BW,102.9,FM,KAWZ,Sequim,US,Washington,WA
K208DW,89.5,FM,WJFM,DeRidder,US,Louisiana,LA
K257DT,99.3,FM,KVIP-FM,Sunriver,US,Oregon,OR
K208FN,89.5,FM,KVIP-FM,Burns,US,Oregon,OR
W210BS,89.9,FM,WCPE,New Bern,US,North Carolina,NC
K216FL,91.1,FM,WPCS,Huntsville,US,Texas,TX
K208FO,89.5,FM,WVCX,Prairie du Chien,US,Wisconsin,WI
K205EB,88.9,FM,KAWZ,Lanai City,US,Hawaii,HI
KLBV,89.3,FM,K-LOVE Radio,Steamboat Springs,US,Colorado,CO
K228AG,93.5,FM,KDNK,Leadville,US,Colorado,CO
WABD,97.5,FM,97.5 WABD,Mobile,US,Alabama,AL
KMNY,1360,AM,La Voz,Hurst,US,Texas,TX
K201HM,88.1,FM,KCSP-FM,Laramie,US,Wyoming,WY
K218EX,91.5,FM,KHRI,Klamath Falls,US,Oregon,OR
K237CB,95.3,FM,KKCH,Eagle,US,Colorado,CO
K236CO,95.1,FM,KYMN,Northfield,US,Minnesota,MN
K218FG,91.5,FM,KCJX,Basalt,US,Colorado,CO
DW260CD,99.9,FM,WERU-FM,Bangor,US,Maine,ME
K201DX,88.1,FM,KHRI,Walla Walla,US,Washington,WA
W272AY,102.3,FM,WIMI,Park Falls,US,Wisconsin,WI
K206EJ,89.1,FM,KEFX,Kailua Kona,US,Hawaii,HI
K256AR,99.1,FM,KWMW,Ruidoso,US,New Mexico,NM
K215CR,90.9,FM,KLOV,The Dalles,US,Oregon,OR
K201IL,88.1,FM,KUNC,Breckenridge,US,Colorado,CO
K207CQ,89.3,FM,KLYT,Gallup,US,New Mexico,NM
K225BR,92.9,FM,WRR,Fort Worth,US,Texas,TX
K208EK,89.5,FM,KAWZ,Thayer,US,Kansas,KS
K220IK,91.9,FM,KAWZ,Limon,US,Colorado,CO
K208FD,89.5,FM,KEFX,Elk City,US,Oklahoma,OK
KKUP1,91.5,FM,KKUP,Los Gatos,US,California,CA
WLKJ1,105.7,FM,K-LOVE Radio,Johnstown,US,Pennsylvania,PA
K217EC,91.3,FM,WJFM,Many,US,Louisiana,LA
KDUT2,102.3,FM,KDUT,Salt Lake City,US,Utah,UT
W210BR,89.9,FM,WXRI,Kingsport,US,Tennessee,TN
W243CQ,96.5,FM,Public Radio 90,Escanaba,US,Michigan,MI
KSOS,90.5,FM,SOS Radio Network,Las Vegas,US,Nevada,NV
K210BQ,89.9,FM,KHYM,Woodward,US,Oklahoma,OK
K252BI,98.3,FM,KRED,Fortuna,US,California,CA
K261BX,100.1,FM,KPLD,Page,US,Arizona,AZ
K209EY,89.7,FM,KAJX,Woody Creek Area,US,Colorado,CO
W274AL,102.7,FM,WBFJ,High Point,US,North Carolina,NC
W295AU,106.9,FM,WVTQ,Manchester,US,Vermont,VT
K228EM,93.5,FM,KCME,Colorado Springs,US,Colorado,CO
KJMO,97.5,FM,97.5 KJMO,Jefferson City,US,Missouri,MO
K216EB,91.1,FM,KLOV,Hood River,US,Oregon,OR
W209CJ,89.7,FM,WMNR,Mount Kisco,US,New York,NY
W205BT,88.9,FM,KHRI,New Albany,US,Indiana,IN
K204EU,88.7,FM,KEFX,Elko,US,Nevada,NV
K204GJ,88.7,FM,KFLQ,Las Vegas,US,New Mexico,NM
W211BG,90.1,FM,KHRI,Walden,US,Tennessee,TN
K201HB,88.1,FM,KAWZ,Aberdeen,US,South Dakota,SD
W214BQ,90.7,FM,KAWZ,Brentwood,US,Tennessee,TN
DK206CK,89.1,FM,KVIP-FM,Gerlach,US,Nevada,NV
K211DW,90.1,FM,Family Life Radio,Tucumcari,US,New Mexico,NM
K299BE,107.7,FM,KRQZ,San Luis Obispo,US,California,CA
K212GI,90.3,FM,KLOV,Hastings,US,Nebraska,NE
K243BM,96.5,FM,KQBL-HD3,Boise,US,Idaho,ID
W214BL,90.7,FM,KLOV,Oxford,US,Mississippi,MS
W205BW,88.9,FM,WSLL,Paul Smiths,US,New York,NY
WACA,1540,AM,America 900,Wheaton,US,Maryland,MD
W278AI,103.5,FM,WBYO,Center Valley,US,Pennsylvania,PA
K212DX,89.9,FM,KNYD,Ponca City,US,Oklahoma,OK
K230AG,93.9,FM,KVOD,Redstone,US,Colorado,CO
K215BY,90.9,FM,KUSU-FM,Emery County,US,Utah,UT
W233AJ,94.5,FM,WMNR,Old Saybrook,US,Connecticut,CT
W214CD,90.7,FM,KLOV,Wadsworth,US,Ohio,OH
K294CV,106.7,FM,KKJA,Powell Butte,US,Oregon,OR
K213DV,90.5,FM,KLOV,Pleasant Hill,US,Iowa,IA
K207FF,89.3,FM,WLOG,Big Spring,US,Texas,TX
W216BP,91.1,FM,WCCV,Fort Payne,US,Alabama,AL
KUMT1,107.9,FM,KUMT,Salt Lake City,US,Utah,UT
K208EC,89.5,FM,KVIP-FM,Silver Lake,US,Oregon,OR
K202DH,88.3,FM,KVIP-FM,Condon,US,Oregon,OR
WBKC,90.9,FM,K-LOVE Radio,Morgantown,US,Indiana,IN
WABX,107.5,FM,107.5 WABX,Evansville,US,Indiana,IN
WNSC,88.9,FM,WJWJ-FM,Rock Hill,US,South Carolina,SC
W263AO,100.5,FM,WCIC,Galesburg,US,Illinois,IL
K213EU,90.5,FM,KAWZ,Fayetteville,US,Arkansas,AR
K216DS,91.1,FM,KXEI,Browning,US,Montana,MT
W229AO,93.7,FM,WDIY,Fogelsville,US,Pennsylvania,PA
W205BY,88.9,FM,KAWZ,Lexington,US,North Carolina,NC
W219CD,91.7,FM,WBEZ,Elgin,US,Illinois,IL
K243AK,96.5,FM,KSRW,Mammoth Lakes,US,California,CA
K210CX,89.9,FM,KHRI,Yakima,US,Washington,WA
K207CW,89.3,FM,KAWZ,Paris,US,Arkansas,AR
K204EQ,88.7,FM,KAWZ,Woodward,US,Oklahoma,OK
K225CF,92.9,FM,KCGC,Sterling,US,Colorado,CO
K220IM,91.9,FM,KTLF,Brush,US,Colorado,CO
W204BL,88.7,FM,KLOV,Gainesville,US,Florida,FL
KJCC,89.5,FM,KAWZ,Carnegie,US,Oklahoma,OK
W218CM,91.5,FM,KAWZ,Glasgow,US,Kentucky,KY
W248CH,97.5,FM,KHOJ,Belleville,US,Illinois,IL
K220HT,91.9,FM,KAWZ,Webster Groves,US,Missouri,MO
KDUT1,102.3,FM,KDUT,Bountiful,US,Utah,UT
KKCR,90.9,FM,KKCR Kaua‘i Community Radio,Hanalei,US,Hawaii,HI
K209AF,89.7,FM,KUAT-FM,Tucson,US,Arizona,AZ
K215FG,90.9,FM,KXEI,Lustre,US,Montana,MT
K204GA,88.7,FM,KHSU,Ferndale,US,California,CA
K260BQ,99.9,FM,KHSU-FM,Willow Creek,US,California,CA
W267AN,101.3,FM,WBFJ,Wilkesboro,US,North Carolina,NC
K220GM,91.9,FM,KEAR-FM,Placitas,US,New Mexico,NM
W218CQ,91.5,FM,WYFQ-FM,Accomac,US,Virginia,VA
K208DQ,89.5,FM,KTLC,Almont,US,Colorado,CO
DW207BY,89.3,FM,KAWZ,Danielsville,US,Georgia,GA
K208DU,89.5,FM,KVIP-FM,Happy Camp,US,California,CA
W260CB,99.9,FM,WDMK-HD2,Detroit,US,Michigan,MI
W206BB,89.1,FM,WVHM,Madisonville,US,Kentucky,KY
K205DT,88.9,FM,KAWZ,Indio,US,California,CA
K217EG,91.3,FM,KWFL,Lamar,US,Colorado,CO
K206CQ,89.1,FM,KJWA,Spokane,US,Washington,WA
K206EI,89.1,FM,KPHA,Williston,US,North Dakota,ND
W207BM,89.3,FM,WJFM,Lock Haven,US,Pennsylvania,PA
K215DS,90.9,FM,Capital Public Radio,Truckee,US,California,CA
K223AM,92.5,FM,KAWZ,Wells,US,Nevada,NV
W295CN,106.9,FM,WSBB,Ormond Beach,US,Florida,FL
W204BT,88.7,FM,WPCS,Meridian,US,Mississippi,MS
KOEZ,104.1,FM,104.1 EZ FM,Des Moines,US,Iowa,IA
K258DA,99.5,FM,KODA,Barrett,US,Texas,TX
W263AE,100.5,FM,WLLX,Lewisburg,US,Tennessee,TN
K280GH,103.9,FM,KNOT,Prescott,US,Arizona,AZ
K211AT,90.1,FM,KRBD,Mountain Point,US,Alaska,AK
K240BX,95.9,FM,KNLR,Christmas Valley,US,Oregon,OR
W214AA,90.7,FM,WSQX-FM,Corning,US,New York,NY
W280DE,103.9,FM,WGNN,Champaign,US,Illinois,IL
W263AQ,100.5,FM,WJKG,Effingham,US,Illinois,IL
K285ET,104.9,FM,KGBI-FM,Kiron,US,Iowa,IA
K211EY,90.1,FM,KSOS,Palmdale,US,California,CA
K220JS,91.9,FM,KEFX,Ontario,US,Oregon,OR
K254AR,98.7,FM,KAWZ,Truckee,US,California,CA
W201CD,88.1,FM,WRFI,Ithaca,US,New York,NY
W240CU,95.9,FM,WTJY,Lexington,US,North Carolina,NC
K220JR,91.9,FM,KHKV,Texarkana,US,Texas,TX
K204DM,88.5,FM,KAWZ,Yreka,US,California,CA
K264BA,100.7,FM,KWFL,Portales,US,New Mexico,NM
W214BR,90.7,FM,WRVO,Geneva,US,New York,NY
W216BT,91.1,FM,WFSW,Port Saint Joe,US,Florida,FL
KJOE,106.1,FM,KJOE,Slayton,US,Minnesota,MN
WBCR,1470,AM,WBCR,Alcoa,US,Tennessee,TN
K215DT,90.9,FM,KENW-FM,San Augustin,US,New Mexico,NM
W212AT,90.3,FM,WVIA-FM,Clarks Summit,US,Pennsylvania,PA
K208AJ,89.5,FM,KUSU-FM,Delta,US,Utah,UT
K298AF,107.5,FM,KAWZ,Shasta,US,California,CA
K217EQ,91.3,FM,KAWZ,Coalinga,US,California,CA
K236AH,95.1,FM,KNCW,Synarep,US,Washington,WA
K276EF,103.1,FM,KAWZ,Muscoy,US,California,CA
K223AN,92.5,FM,KVNI,Coeur d'Alene,US,Idaho,ID
KAIS,90.7,FM,Air1 Radio,Tracy,US,California,CA
K211FN,90.1,FM,KHRI,Norfolk,US,Nebraska,NE
K209DV,89.7,FM,KBAQ,Scottsdale,US,Arizona,AZ
K201FO,88.1,FM,KAWZ,Jennings,US,Louisiana,LA
K216FR,91.1,FM,KEFX,Clinton,US,Oklahoma,OK
K211FH,90.1,FM,KEFX,Shelton,US,Washington,WA
W209CI,89.7,FM,KEFX,Binghamton,US,New York,NY
K209ED,89.7,FM,KUVO,Breckenridge,US,Colorado,CO
K218DI,91.5,FM,WPCS,Woodrow,US,Texas,TX
KUER1,90.1,FM,KUER-FM,Alta,US,Utah,UT
WQMX,94.9,FM,WQMX,Akron,US,Ohio,OH
KZNS,1280,AM,KSL Sports Zone,Salt Lake City,US,Utah,UT
WDVD,96.3,FM,96.3 WDVD,Detroit,US,Michigan,MI
WTSM,97.9,FM,The Joy FM,Woodville,US,Florida,FL
WDLS,900,AM,Country Western,Wisconsin Dells,US,Wisconsin,WI
WNWV,107.3,FM,WNWV,Elyria,US,Ohio,OH
WVUB,91.1,FM,WVUB,Vincennes,US,Indiana,IN
,,,STAR1079.com,Reynoldsburg,US,Ohio,OH
W222AP,92.3,FM,WESA,New Baltimore,US,Pennsylvania,PA
WQEZ,1370,AM,WQEZ,Fort Campbell,US,Kentucky,KY
WLS,94.7,FM,94.7 WLS,Chicago,US,Illinois,IL
,91.9,FM,ZJB Radio,Suwanee,US,Georgia,GA
KHOV1,105.3,FM,KHOV-FM,Constellation,US,Arizona,AZ
KZSU,90.1,FM,KZSU,Stanford,US,California,CA
,,,BBN Japanese,Charlotte,US,North Carolina,NC
KGLL,88.1,FM,WAJS,Gillette,US,Wyoming,WY
KSJN,99.5,FM,YourClassical MPR,Minneapolis,US,Minnesota,MN
WLEB-LP,93.1,FM,Truth FM WLEB,Lebanon,US,Pennsylvania,PA
,,,First Amendment Radio,Houston,US,Texas,TX
WGH,97.3,FM,97.3 The Eagle,Newport News,US,Virginia,VA
KOOO,101.9,FM,101.9 The Keg,La VIsta,US,Nebraska,NE
WBAN,1340,AM,941 The Wave,Bangor,US,Maine,ME
,,,Yesterday USA Radio Blue,Los Angeles,US,California,CA
,,,WNAR,Lansdale,US,Pennsylvania,PA
,,,"WVFI, The Voice of the Fighting Irish",Saint Marys,US,Indiana,IN
KRCV,98.3,FM,Recuerdo LA,Los Angeles,US,California,CA
,,,KDRU 98.1 FM,Springfield,US,Missouri,MO
KSTP,1500,AM,SKOR North,Saint Paul,US,Minnesota,MN
KXXR,93.7,FM,93x,Minneapolis,US,Minnesota,MN
WNGC,106.1,FM,106.1 WNGC Your Georgia Country,Arcade,US,Georgia,GA
KIBZ,104.1,FM,104-1 The Blaze,Crete,US,Nebraska,NE
